date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:45:31	83937/83937	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Oct%202017%2022:43:19%20GMT	http://www.escoladireta.com.br/wp-content/themes/escoladireta/assets/css/fonts/roboto/Roboto-Thin.eot	C:/Meus%20Sites/escoladireta/www.escoladireta.com.br/wp-content/themes/escoladireta/assets/css/fonts/roboto/Roboto-Thin.31.delayed	(from http://www.escoladireta.com.br/wp-content/themes/escoladireta/assets/css/libs/materialize.min.css)
20:45:31	341015/341015	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Sep%202017%2013:55:03%20GMT	http://www.escoladireta.com.br/wp-content/uploads/2017/09/KIDS.jpg	C:/Meus%20Sites/escoladireta/www.escoladireta.com.br/wp-content/uploads/2017/09/KIDS.jpg	(from http://www.escoladireta.com.br/)
20:45:33	83937/83937	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Oct%202017%2022:43:21%20GMT	http://www.escoladireta.com.br/wp-content/themes/escoladireta/assets/css/fonts/roboto/Roboto-Thin.eot?	C:/Meus%20Sites/escoladireta/www.escoladireta.com.br/wp-content/themes/escoladireta/assets/css/fonts/roboto/Roboto-Thind41d.eot	(from http://www.escoladireta.com.br/wp-content/themes/escoladireta/assets/css/libs/materialize.min.css)
20:45:35	83937/83937	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Oct%202017%2022:43:23%20GMT	http://www.escoladireta.com.br/wp-content/themes/escoladireta/assets/css/fonts/roboto/Roboto-Thin.woff2	C:/Meus%20Sites/escoladireta/www.escoladireta.com.br/wp-content/themes/escoladireta/assets/css/fonts/roboto/Roboto-Thin.woff2	(from http://www.escoladireta.com.br/wp-content/themes/escoladireta/assets/css/libs/materialize.min.css)
20:45:37	83937/83937	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Oct%202017%2022:43:25%20GMT	http://www.escoladireta.com.br/wp-content/themes/escoladireta/assets/css/fonts/roboto/Roboto-Thin.woff	C:/Meus%20Sites/escoladireta/www.escoladireta.com.br/wp-content/themes/escoladireta/assets/css/fonts/roboto/Roboto-Thin.woff	(from http://www.escoladireta.com.br/wp-content/themes/escoladireta/assets/css/libs/materialize.min.css)
20:45:39	83937/83937	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Oct%202017%2022:43:27%20GMT	http://www.escoladireta.com.br/wp-content/themes/escoladireta/assets/css/fonts/roboto/Roboto-Thin.ttf	C:/Meus%20Sites/escoladireta/www.escoladireta.com.br/wp-content/themes/escoladireta/assets/css/fonts/roboto/Roboto-Thin.ttf	(from http://www.escoladireta.com.br/wp-content/themes/escoladireta/assets/css/libs/materialize.min.css)
20:45:41	83937/83937	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Oct%202017%2022:43:29%20GMT	http://www.escoladireta.com.br/wp-content/themes/escoladireta/assets/css/fonts/roboto/Roboto-Light.eot	C:/Meus%20Sites/escoladireta/www.escoladireta.com.br/wp-content/themes/escoladireta/assets/css/fonts/roboto/Roboto-Light.eot	(from http://www.escoladireta.com.br/wp-content/themes/escoladireta/assets/css/libs/materialize.min.css)
20:45:43	83937/83937	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Oct%202017%2022:43:31%20GMT	http://www.escoladireta.com.br/wp-content/themes/escoladireta/assets/css/fonts/roboto/Roboto-Light.eot?	C:/Meus%20Sites/escoladireta/www.escoladireta.com.br/wp-content/themes/escoladireta/assets/css/fonts/roboto/Roboto-Lightd41d.eot	(from http://www.escoladireta.com.br/wp-content/themes/escoladireta/assets/css/libs/materialize.min.css)
20:45:44	83937/83937	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Oct%202017%2022:43:33%20GMT	http://www.escoladireta.com.br/wp-content/themes/escoladireta/assets/css/fonts/roboto/Roboto-Light.woff2	C:/Meus%20Sites/escoladireta/www.escoladireta.com.br/wp-content/themes/escoladireta/assets/css/fonts/roboto/Roboto-Light.woff2	(from http://www.escoladireta.com.br/wp-content/themes/escoladireta/assets/css/libs/materialize.min.css)
20:45:46	83937/83937	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Oct%202017%2022:43:34%20GMT	http://www.escoladireta.com.br/wp-content/themes/escoladireta/assets/css/fonts/roboto/Roboto-Light.woff	C:/Meus%20Sites/escoladireta/www.escoladireta.com.br/wp-content/themes/escoladireta/assets/css/fonts/roboto/Roboto-Light.woff	(from http://www.escoladireta.com.br/wp-content/themes/escoladireta/assets/css/libs/materialize.min.css)
